	brenneri	briggsae	doughertyi	elegans	inopinata	latens	nigoni	remanei	sinica	sp26	sp40	tropicalis	wallacei
OG0002929	1	1	1	1	1	1	5	1	1	1	1	1	1
OG0002930	2	1	1	2	1	1	1	1	3	1	1	1	1
OG0002931	2	1	1	1	1	2	1	3	1	1	1	1	1
OG0002932	1	1	1	2	2	1	1	1	1	1	1	3	1
OG0002933	1	1	1	1	1	2	2	2	2	1	1	1	1
OG0002934	1	0	1	1	4	2	1	2	1	1	1	1	1
OG0002935	1	2	4	0	2	1	1	0	1	1	2	1	1
OG0002936	2	2	1	1	2	1	1	1	2	1	1	1	1
OG0002937	2	1	2	1	1	1	1	1	2	1	2	1	1
OG0002938	2	1	1	1	1	1	1	1	1	1	1	2	3
OG0002939	1	1	1	0	1	1	1	2	2	1	2	2	2
OG0002940	1	1	1	1	1	1	2	1	3	1	2	1	1
OG0002941	1	1	2	1	1	1	1	1	1	1	1	3	2
OG0002942	1	1	1	1	1	1	2	1	2	2	2	1	1
OG0002943	0	12	1	0	2	1	0	0	0	0	1	0	0
OG0002944	0	2	1	1	0	3	2	4	1	0	1	1	1
OG0002945	0	1	2	1	1	2	1	1	2	2	2	1	1
OG0002946	0	16	0	1	0	0	0	0	0	0	0	0	0
OG0002947	0	1	2	1	1	1	1	1	1	4	1	2	1
OG0002948	0	3	0	0	0	0	5	0	4	0	5	0	0
OG0002949	0	1	2	0	1	0	1	1	3	3	2	2	1
OG0002950	0	1	0	0	0	1	1	1	1	1	1	8	2
OG0002951	0	1	1	2	2	1	2	2	2	1	1	1	1
OG0002952	0	3	1	1	0	2	1	5	0	0	2	1	1
OG0002953	0	1	2	1	1	1	2	1	2	2	2	1	1
OG0002954	0	1	2	1	1	2	1	3	2	1	1	1	1
OG0002955	0	2	0	0	0	0	9	0	2	3	1	0	0
OG0002956	0	1	1	1	0	2	2	2	2	1	2	2	1
OG0002957	0	1	1	0	3	2	1	1	1	1	4	2	0
OG0002958	0	1	1	0	0	3	1	3	2	1	1	2	2
OG0002959	0	1	6	0	0	1	1	1	3	1	1	1	1
OG0002960	0	2	1	0	0	1	2	1	2	1	5	1	1
OG0002961	0	1	0	0	0	1	2	2	2	2	7	0	0
OG0002962	0	1	1	1	1	1	2	1	2	2	2	1	2
OG0002963	0	1	0	0	0	4	1	4	7	0	0	0	0
OG0002964	0	0	16	0	0	0	0	0	0	0	0	0	1
OG0002965	0	0	1	0	0	0	0	0	10	2	3	0	1
OG0002966	0	0	1	0	0	0	0	3	6	1	6	0	0
OG0002967	0	0	14	2	0	0	0	0	0	0	0	0	1
OG0002968	0	0	0	17	0	0	0	0	0	0	0	0	0
OG0002969	0	0	0	5	0	3	3	6	0	0	0	0	0
OG0002970	0	0	0	0	0	1	0	0	16	0	0	0	0
OG0002971	0	0	0	0	0	0	0	0	17	0	0	0	0
OG0002972	0	0	0	0	0	0	0	0	0	0	0	8	9
OG0002973	1	1	1	5	1	1	1	0	1	1	1	1	1
OG0002974	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0002975	1	1	1	1	3	2	1	1	1	1	1	1	1
OG0002976	1	1	1	1	1	1	1	1	2	2	2	1	1
OG0002977	1	1	1	1	1	1	2	2	2	1	1	1	1
OG0002978	1	1	1	1	1	1	1	1	2	2	2	1	1
OG0002979	1	1	1	1	1	2	2	1	1	1	1	1	2
OG0002980	2	1	1	1	1	1	1	2	2	1	1	1	1
OG0002981	3	1	2	1	1	1	1	1	1	1	1	1	1
OG0002982	2	1	1	3	1	1	1	1	1	1	1	1	1
OG0002983	1	1	1	3	1	2	1	1	1	1	1	1	1
OG0002984	2	1	1	1	0	2	2	1	1	2	1	1	1
OG0002985	1	1	1	3	1	1	2	1	1	1	1	1	1
OG0002986	1	2	1	1	1	2	1	2	1	1	1	1	1
OG0002987	2	1	1	1	1	1	1	2	1	1	1	2	1
OG0002988	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0002989	2	1	3	1	1	1	1	1	1	1	1	1	1
OG0002990	1	1	2	1	3	1	2	0	2	1	0	1	1
OG0002991	2	1	1	1	1	1	1	2	1	1	1	1	2
OG0002992	2	1	0	1	1	0	2	1	4	1	1	1	1
OG0002993	2	1	1	2	3	1	0	1	1	1	1	1	1
OG0002994	1	1	1	1	1	2	1	2	2	1	1	1	1
OG0002995	2	1	1	1	1	1	1	1	1	1	1	3	1
OG0002996	5	0	2	1	1	1	0	1	1	0	0	2	2
OG0002997	2	1	0	0	2	2	0	2	1	2	1	2	1
OG0002998	2	1	1	1	1	1	1	3	1	1	1	1	1
OG0002999	1	1	1	1	2	1	2	2	1	1	1	1	1
OG0003000	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003001	2	1	1	3	1	1	1	1	1	1	1	1	1
OG0003002	2	1	1	2	1	1	1	1	2	1	1	1	1
OG0003003	15	0	1	0	0	0	0	0	0	0	0	0	0
OG0003004	1	1	1	2	1	1	1	2	2	1	1	1	1
OG0003005	1	2	1	1	1	0	2	0	3	1	2	1	1
OG0003006	16	0	0	0	0	0	0	0	0	0	0	0	0
OG0003007	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003008	4	1	1	1	1	1	1	1	1	1	1	1	1
OG0003009	1	1	2	1	1	2	1	1	1	2	1	1	1
OG0003010	2	1	1	1	1	1	2	1	2	1	1	1	1
OG0003011	2	1	3	1	1	1	1	1	1	1	1	1	1
OG0003012	2	2	1	1	1	1	1	1	1	1	1	2	1
OG0003013	1	1	1	1	1	1	2	1	1	1	3	1	1
OG0003014	1	2	1	1	4	1	1	1	1	1	1	1	0
OG0003015	2	1	1	3	1	0	1	1	2	1	1	1	1
OG0003016	4	1	1	1	1	1	1	1	1	1	1	1	1
OG0003017	2	1	1	1	1	1	1	1	2	2	1	1	1
OG0003018	2	1	1	1	1	1	1	1	2	1	1	2	1
OG0003019	2	1	1	2	1	2	1	1	1	1	1	1	1
OG0003020	2	2	1	2	1	1	1	1	1	1	1	1	1
OG0003021	2	2	1	1	0	1	2	2	1	1	1	1	1
OG0003022	2	1	2	1	1	2	1	1	1	1	1	1	1
OG0003023	3	2	1	1	0	2	1	1	1	1	1	1	1
OG0003024	2	1	1	1	1	1	2	1	2	1	1	1	1
OG0003025	1	1	1	3	2	1	1	1	1	1	1	1	1
OG0003026	2	1	1	1	1	1	1	1	1	1	3	1	1
OG0003027	1	1	1	1	1	2	1	1	2	2	1	1	1
OG0003028	3	1	1	1	1	1	1	1	2	1	1	1	1
OG0003029	2	2	2	1	1	1	1	1	1	1	1	1	1
OG0003030	2	2	1	2	1	1	1	1	1	1	1	1	1
OG0003031	3	1	1	1	1	1	1	1	1	2	1	1	1
OG0003032	2	0	0	0	0	0	0	0	2	8	4	0	0
OG0003033	2	1	2	1	1	1	1	1	1	1	1	1	2
OG0003034	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003035	2	1	2	1	1	2	1	1	1	1	1	1	1
OG0003036	2	1	1	1	1	1	1	1	1	1	1	2	2
OG0003037	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003038	2	1	1	1	1	1	1	1	3	1	1	1	1
OG0003039	1	1	1	1	1	1	2	1	2	1	1	1	2
OG0003040	2	1	3	1	1	1	1	1	1	1	1	1	1
OG0003041	2	1	1	2	1	1	2	1	1	1	1	1	1
OG0003042	3	1	1	1	2	0	1	2	1	1	1	1	1
OG0003043	2	1	1	1	1	1	1	1	2	2	1	1	1
OG0003044	2	1	1	1	1	2	1	1	2	1	1	1	1
OG0003045	2	1	1	1	2	1	1	1	1	1	2	1	1
OG0003046	1	1	1	2	1	1	1	1	1	1	3	1	1
OG0003047	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003048	2	1	1	1	1	2	1	2	1	1	0	2	1
OG0003049	2	1	1	1	1	1	1	3	1	1	1	1	1
OG0003050	1	2	0	0	1	1	1	1	5	1	1	1	1
OG0003051	1	1	1	1	1	3	1	1	2	1	1	1	1
OG0003052	2	1	2	1	1	1	1	1	1	1	1	2	1
OG0003053	2	1	2	1	1	1	1	1	1	1	2	1	1
OG0003054	2	1	1	1	1	1	1	1	1	2	1	1	2
OG0003055	1	1	2	1	1	1	1	1	3	1	1	1	1
OG0003056	2	2	2	0	1	1	2	1	1	1	1	1	1
OG0003057	4	1	1	1	1	1	1	1	1	1	1	1	1
OG0003058	3	0	3	0	0	3	0	5	1	0	1	0	0
OG0003059	1	1	2	2	1	1	2	1	1	1	1	1	1
OG0003060	2	1	1	1	3	1	1	1	1	1	1	1	1
OG0003061	1	1	1	1	3	1	1	1	1	2	1	1	1
OG0003062	2	1	1	1	1	1	2	1	1	1	2	1	1
OG0003063	1	1	1	2	1	1	1	1	3	1	1	1	1
OG0003064	2	1	2	1	1	1	1	1	2	1	1	1	1
OG0003065	2	1	1	1	1	1	1	1	2	2	1	1	1
OG0003066	1	1	2	1	1	2	1	2	1	1	1	1	1
OG0003067	3	0	1	1	1	1	0	1	3	1	2	1	1
OG0003068	2	1	1	2	3	0	1	1	1	1	1	1	1
OG0003069	2	1	2	1	1	1	1	1	1	1	2	1	1
OG0003070	1	1	1	1	1	1	1	1	2	1	2	2	1
OG0003071	1	2	1	1	1	1	2	0	3	1	1	1	1
OG0003072	2	1	1	1	1	1	1	1	3	1	1	1	1
OG0003073	2	1	1	1	1	1	1	1	2	1	1	2	1
OG0003074	2	2	1	1	1	1	1	1	2	1	1	1	1
OG0003075	1	1	1	1	1	2	1	2	2	1	1	1	1
OG0003076	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003077	2	1	1	2	1	1	1	1	2	1	1	1	1
OG0003078	1	1	1	1	1	1	4	1	1	1	1	1	1
OG0003079	2	1	1	2	2	1	1	1	1	1	1	1	1
OG0003080	1	2	0	1	3	2	1	1	1	1	1	1	1
OG0003081	2	0	1	5	0	1	1	1	1	1	1	1	1
OG0003082	2	1	1	1	1	1	1	1	1	1	1	2	2
OG0003083	1	1	1	1	1	2	1	3	1	1	1	1	1
OG0003084	2	1	1	3	1	1	1	1	1	1	1	1	1
OG0003085	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003086	1	2	1	1	1	1	2	1	2	1	1	1	1
OG0003087	2	1	1	1	1	1	1	3	1	1	1	1	1
OG0003088	1	1	1	1	1	1	1	1	2	2	2	1	1
OG0003089	2	1	1	1	1	1	1	1	2	2	1	1	1
OG0003090	2	1	1	0	0	1	5	1	0	1	1	1	2
OG0003091	1	1	1	1	1	1	1	1	1	1	1	4	1
OG0003092	2	1	1	1	1	1	2	1	1	2	1	1	1
OG0003093	3	1	1	1	1	1	1	1	1	1	1	2	1
OG0003094	2	0	5	1	0	0	1	0	2	1	1	1	2
OG0003095	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003096	1	0	4	0	0	0	1	0	4	1	1	2	2
OG0003097	1	1	1	1	1	2	1	2	1	1	2	1	1
OG0003098	3	0	4	1	1	0	1	1	1	1	1	1	1
OG0003099	5	1	1	1	0	1	1	1	1	2	1	1	0
OG0003100	1	1	1	1	1	2	1	2	2	1	1	1	1
OG0003101	2	1	2	1	1	1	1	1	1	1	1	1	2
OG0003102	5	1	1	1	1	1	1	1	0	1	1	1	1
OG0003103	2	0	0	0	0	4	0	2	3	1	4	0	0
OG0003104	3	1	1	1	1	1	1	1	1	1	1	1	2
OG0003105	2	1	1	1	1	1	1	1	2	1	1	1	2
OG0003106	1	1	1	1	1	1	1	2	2	1	1	2	1
OG0003107	2	1	2	1	1	1	1	1	2	1	1	1	1
OG0003108	4	1	1	1	1	1	1	1	1	1	1	1	1
OG0003109	2	2	1	1	1	1	1	1	2	1	1	1	1
OG0003110	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003111	3	1	0	4	0	1	1	2	0	0	0	1	3
OG0003112	2	1	1	1	1	1	1	1	2	1	1	2	1
OG0003113	1	2	2	1	1	2	1	1	1	1	1	1	1
OG0003114	3	1	1	1	1	1	1	1	2	1	1	1	1
OG0003115	2	0	0	0	0	2	0	4	5	1	2	0	0
OG0003116	3	1	1	2	1	1	1	1	1	1	1	1	1
OG0003117	2	1	1	1	1	2	1	1	2	1	1	1	1
OG0003118	1	1	1	1	1	1	2	1	2	1	1	2	1
OG0003119	3	1	1	1	1	1	1	1	1	1	1	2	1
OG0003120	2	1	1	1	1	2	2	1	1	1	1	1	1
OG0003121	4	1	1	1	1	1	1	1	1	1	1	1	1
OG0003122	4	1	1	1	1	1	1	1	1	1	1	1	1
OG0003123	1	1	1	4	2	1	1	1	1	1	1	0	1
OG0003124	2	1	1	1	1	2	2	1	1	1	1	1	1
OG0003125	2	1	1	1	1	2	1	1	2	1	1	1	1
OG0003126	3	1	1	1	1	1	1	1	1	1	1	2	1
OG0003127	1	1	1	1	1	2	1	1	3	1	2	1	0
OG0003128	2	1	1	1	1	1	1	3	1	1	1	1	1
OG0003129	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003130	3	1	1	1	1	1	1	1	1	2	1	1	1
OG0003131	2	0	2	0	0	0	0	0	0	0	0	10	2
OG0003132	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003133	1	2	1	1	1	1	2	1	1	2	1	1	1
OG0003134	1	1	1	1	1	2	1	2	2	1	1	1	1
OG0003135	2	1	1	1	1	1	1	1	2	1	2	1	1
OG0003136	1	2	1	1	1	2	2	1	1	1	1	1	1
OG0003137	3	1	1	1	1	1	1	1	1	2	1	1	1
OG0003138	2	2	1	1	1	1	2	1	1	1	1	1	1
OG0003139	1	1	2	1	1	2	2	1	1	1	1	1	1
OG0003140	2	1	1	1	1	3	1	1	1	1	1	1	1
OG0003141	1	1	1	1	1	1	1	1	2	2	2	1	1
OG0003142	3	0	1	0	0	0	1	2	6	1	0	2	0
OG0003143	1	0	6	0	0	1	3	1	3	1	0	0	0
OG0003144	2	1	2	1	1	2	1	2	1	1	0	1	1
OG0003145	1	1	1	1	1	1	2	1	2	1	1	2	1
OG0003146	2	1	2	1	1	1	1	1	1	1	2	1	1
OG0003147	2	1	1	1	1	1	1	1	3	1	1	1	1
OG0003148	1	1	1	0	0	2	2	2	3	1	2	1	0
OG0003149	2	1	1	1	1	1	3	1	1	1	1	1	1
OG0003150	2	1	1	2	1	1	1	2	1	1	1	1	1
OG0003151	3	1	1	1	1	1	1	1	1	1	1	2	1
OG0003152	2	1	1	1	1	1	2	1	1	1	1	2	1
OG0003153	2	1	1	1	1	2	2	1	1	1	1	1	1
OG0003154	2	2	1	1	2	1	2	0	1	2	1	0	1
OG0003155	2	1	1	1	1	1	1	3	1	1	1	1	1
OG0003156	1	1	1	1	1	1	1	1	2	2	1	2	1
OG0003157	1	1	1	1	1	2	1	2	1	1	1	2	1
OG0003158	3	1	1	2	1	1	1	1	1	1	1	1	1
OG0003159	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003160	2	1	3	1	1	1	1	1	1	1	1	1	1
OG0003161	1	1	1	2	5	1	0	2	1	0	0	1	1
OG0003162	2	1	1	1	1	1	1	1	1	1	1	2	2
OG0003163	2	1	1	1	1	3	1	1	1	1	1	1	1
OG0003164	2	1	1	1	0	3	1	3	0	1	1	1	1
OG0003165	1	1	1	1	1	2	1	2	1	1	2	1	1
OG0003166	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003167	2	1	1	1	1	1	1	2	1	1	1	2	1
OG0003168	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003169	1	1	2	1	1	2	1	1	1	1	1	2	1
OG0003170	4	1	1	1	1	1	1	1	1	1	1	1	1
OG0003171	3	1	1	1	1	1	1	1	1	1	1	1	2
OG0003172	2	1	1	1	1	2	1	1	1	1	2	1	1
OG0003173	1	2	1	1	1	1	1	1	2	1	2	1	1
OG0003174	1	1	1	1	1	1	1	1	3	2	1	1	1
OG0003175	1	1	3	1	1	1	1	1	1	1	1	2	1
OG0003176	2	2	1	1	1	1	2	1	1	1	1	1	1
OG0003177	1	1	1	0	1	2	1	1	3	1	1	2	1
OG0003178	1	1	1	3	1	1	1	1	1	1	1	2	1
OG0003179	2	1	2	1	1	1	1	1	1	1	1	2	1
OG0003180	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003181	2	1	1	1	1	2	1	1	1	1	2	1	1
OG0003182	2	1	1	1	1	1	2	2	1	1	1	1	1
OG0003183	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003184	2	1	1	1	1	3	1	1	1	1	1	1	1
OG0003185	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003186	3	1	1	1	1	2	1	1	1	1	1	1	1
OG0003187	1	2	2	0	0	1	2	0	2	2	2	1	1
OG0003188	1	3	0	1	0	1	0	1	3	1	4	1	0
OG0003189	2	0	7	0	0	1	0	4	1	0	1	0	0
OG0003190	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003191	2	1	1	1	1	1	1	1	2	1	1	2	1
OG0003192	2	1	1	1	3	1	1	1	1	1	1	1	1
OG0003193	2	1	2	1	1	0	1	1	1	1	1	2	2
OG0003194	1	1	1	1	1	1	1	1	1	1	1	1	4
OG0003195	1	1	1	1	1	2	1	1	1	2	1	2	1
OG0003196	2	1	0	1	0	0	1	2	2	1	2	3	1
OG0003197	2	1	1	1	1	1	1	1	1	2	1	1	2
OG0003198	2	1	1	1	1	3	1	1	1	1	1	1	1
OG0003199	3	1	1	1	0	2	1	2	1	2	1	1	0
OG0003200	4	1	1	1	1	1	1	1	1	1	1	1	1
OG0003201	1	1	1	0	0	2	2	1	2	1	2	1	2
OG0003202	3	1	1	1	1	1	1	1	1	1	1	2	1
OG0003203	2	1	2	1	1	3	1	2	1	0	0	1	1
OG0003204	3	1	2	1	1	1	1	1	1	1	1	1	1
OG0003205	1	1	1	1	1	1	1	2	3	1	1	1	1
OG0003206	2	1	1	1	1	1	1	1	3	1	1	1	1
OG0003207	2	1	3	1	1	1	1	1	1	1	1	1	1
OG0003208	1	1	1	1	1	1	3	1	1	1	1	2	1
OG0003209	1	1	1	1	1	2	1	2	2	1	1	1	1
OG0003210	3	1	1	1	1	1	0	1	3	1	1	1	1
OG0003211	2	1	1	1	1	1	1	2	2	1	1	1	1
OG0003212	2	1	1	1	1	3	1	1	1	1	1	1	1
OG0003213	2	1	1	1	1	1	1	1	3	1	1	1	1
OG0003214	1	3	1	1	1	1	2	1	1	1	1	1	1
OG0003215	1	1	1	1	1	2	1	2	1	1	1	2	1
OG0003216	1	1	1	1	1	1	1	2	2	1	1	2	1
OG0003217	2	1	1	3	1	1	1	1	1	1	1	1	1
OG0003218	3	2	2	1	1	1	0	1	1	0	1	1	2
OG0003219	2	2	1	1	1	1	3	1	1	1	0	1	1
OG0003220	1	1	1	1	1	1	1	1	3	2	1	1	1
OG0003221	1	2	1	1	1	1	3	1	1	1	1	1	1
OG0003222	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003223	1	1	1	1	1	1	2	2	1	1	1	2	1
OG0003224	1	1	1	1	1	1	2	1	2	1	1	2	1
OG0003225	1	1	1	2	2	1	1	2	1	1	1	1	1
OG0003226	2	3	1	1	1	1	1	1	1	1	1	1	1
OG0003227	2	1	1	1	1	2	1	1	2	1	1	1	1
OG0003228	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003229	2	2	2	1	1	1	1	1	1	2	1	1	0
OG0003230	1	1	1	1	1	1	2	1	2	2	2	0	1
OG0003231	2	1	1	1	1	1	2	1	1	1	2	1	1
OG0003232	5	0	2	0	0	2	0	2	1	0	0	2	2
OG0003233	3	1	1	1	1	1	1	1	1	2	1	1	1
OG0003234	1	1	1	1	1	3	1	2	1	1	1	1	1
OG0003235	2	1	1	1	0	3	1	1	2	1	1	1	1
OG0003236	1	0	1	1	1	3	0	4	2	1	0	1	1
OG0003237	2	1	1	1	1	1	1	1	1	1	3	1	1
OG0003238	2	1	1	1	1	2	1	2	1	1	0	2	1
OG0003239	2	1	1	1	1	1	1	1	2	1	1	2	1
OG0003240	2	1	1	1	1	3	1	1	1	1	1	1	1
OG0003241	3	1	1	1	1	1	1	1	2	1	1	1	1
OG0003242	1	1	3	1	1	1	1	2	1	1	1	1	1
OG0003243	3	1	1	1	1	1	1	2	1	1	1	1	1
OG0003244	2	1	1	1	1	1	1	2	1	1	2	1	1
OG0003245	1	2	2	1	0	1	1	2	0	1	2	2	1
OG0003246	2	1	1	1	1	1	2	1	2	1	1	1	1
OG0003247	3	0	3	0	3	0	0	0	7	0	0	0	0
OG0003248	2	1	1	1	1	1	1	3	1	1	1	1	1
OG0003249	2	1	2	1	1	1	1	1	2	1	1	1	1
OG0003250	1	2	1	1	1	2	1	2	1	1	1	1	1
OG0003251	1	2	2	2	1	1	1	1	1	1	1	1	1
OG0003252	2	1	3	1	1	1	1	1	2	1	1	0	1
OG0003253	1	1	2	1	1	1	1	2	1	1	1	1	2
OG0003254	2	2	1	1	1	2	1	1	1	1	1	1	1
OG0003255	1	1	1	1	1	2	1	2	3	1	1	0	1
OG0003256	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003257	1	1	1	1	1	1	1	2	3	1	1	1	1
OG0003258	2	1	1	1	1	1	1	1	1	1	1	3	1
OG0003259	2	1	1	1	1	1	1	1	1	1	1	1	3
OG0003260	1	1	2	3	1	1	1	1	1	1	1	1	1
OG0003261	3	1	1	1	1	1	1	2	1	1	1	1	1
OG0003262	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003263	1	1	1	1	1	2	1	1	2	1	1	2	1
OG0003264	1	1	2	1	1	1	1	1	1	1	1	2	2
OG0003265	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003266	1	1	2	1	1	2	1	1	2	1	1	1	1
OG0003267	1	1	1	1	1	3	1	2	1	1	1	1	1
OG0003268	2	1	4	1	0	1	1	1	2	1	0	1	1
OG0003269	3	1	2	1	1	2	1	1	1	1	1	0	1
OG0003270	2	2	2	1	1	1	1	1	1	1	1	1	1
OG0003271	2	1	1	1	1	1	1	1	2	1	1	1	2
OG0003272	2	2	1	1	1	1	3	1	0	1	1	1	1
OG0003273	2	1	2	0	0	0	1	0	3	0	1	4	2
OG0003274	3	1	2	1	1	1	1	1	1	1	1	1	1
OG0003275	1	1	1	5	0	1	2	1	1	1	1	0	1
OG0003276	2	1	1	1	1	1	1	2	1	2	1	1	1
OG0003277	2	1	1	2	1	1	1	1	2	1	1	1	1
OG0003278	1	1	1	1	1	1	1	4	1	1	1	1	1
OG0003279	1	1	3	1	0	1	3	1	1	1	0	1	2
OG0003280	2	1	2	1	1	1	1	1	1	1	2	1	1
OG0003281	2	1	1	1	1	1	1	1	2	2	1	1	1
OG0003282	1	1	2	1	1	1	2	1	1	1	1	2	1
OG0003283	1	2	2	1	1	1	1	1	2	1	1	1	1
OG0003284	1	1	1	0	1	3	1	3	1	1	1	1	1
OG0003285	3	1	1	1	1	1	2	1	1	1	1	1	1
OG0003286	3	1	2	1	1	1	1	1	1	1	1	1	1
OG0003287	1	0	1	1	2	1	2	2	1	1	1	2	1
OG0003288	2	1	1	1	1	1	1	3	1	1	1	1	1
OG0003289	1	1	1	1	1	1	1	1	3	1	1	2	1
OG0003290	1	1	1	1	1	1	4	1	1	1	1	1	1
OG0003291	2	1	1	2	1	1	2	1	1	1	1	1	1
OG0003292	2	1	3	1	1	1	1	1	1	1	1	1	1
OG0003293	1	1	3	2	1	1	1	1	1	1	1	1	1
OG0003294	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003295	2	1	1	1	1	1	1	2	2	1	1	1	1
OG0003296	2	1	1	1	1	1	2	1	1	1	1	2	1
OG0003297	4	1	1	1	1	1	1	1	1	1	1	1	1
OG0003298	3	1	1	1	1	1	1	1	1	1	1	2	1
OG0003299	4	1	0	1	0	1	3	1	1	1	1	1	1
OG0003300	2	2	1	1	1	0	2	0	1	1	1	1	3
OG0003301	1	1	1	1	1	1	1	2	1	1	1	2	2
OG0003302	1	1	3	1	1	1	1	2	1	1	1	1	1
OG0003303	1	1	2	1	1	1	1	1	2	2	1	1	1
OG0003304	1	1	1	1	1	1	1	1	2	1	2	2	1
OG0003305	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003306	2	2	1	1	1	2	1	1	1	1	1	1	1
OG0003307	1	1	1	1	4	1	1	1	1	1	1	1	1
OG0003308	2	1	1	1	1	1	3	1	1	1	1	1	1
OG0003309	4	0	5	1	0	0	0	0	2	0	2	0	2
OG0003310	1	1	4	1	1	1	1	1	1	1	1	1	1
OG0003311	3	1	1	2	1	1	1	1	1	1	1	1	1
OG0003312	3	1	1	1	1	1	2	1	1	1	1	1	1
OG0003313	1	1	1	1	1	2	1	2	1	1	2	1	1
OG0003314	2	1	3	1	1	1	1	1	1	1	1	1	1
OG0003315	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003316	1	1	1	2	1	1	1	1	2	1	2	1	1
OG0003317	3	2	1	1	1	1	1	1	1	1	1	1	1
OG0003318	1	1	0	1	1	1	2	2	1	2	1	2	1
OG0003319	1	1	1	1	1	2	2	2	1	1	1	1	1
OG0003320	1	1	1	2	1	1	1	1	1	3	1	1	1
OG0003321	2	1	1	1	1	1	2	1	2	1	1	1	1
OG0003322	1	1	4	1	1	1	1	1	1	1	1	1	1
OG0003323	1	1	1	1	1	3	1	2	1	1	1	1	1
OG0003324	2	1	3	1	1	1	1	1	1	1	1	1	1
OG0003325	1	1	1	1	1	1	2	2	2	1	1	1	1
OG0003326	1	1	1	1	3	1	2	0	2	1	1	1	1
OG0003327	1	1	1	1	2	2	1	1	2	1	1	1	1
OG0003328	2	1	2	1	1	1	1	2	1	1	1	1	1
OG0003329	1	1	2	1	1	2	1	2	1	1	1	1	1
OG0003330	2	1	1	2	1	1	1	1	2	1	1	1	1
OG0003331	2	1	1	1	1	1	1	1	2	1	1	2	1
OG0003332	2	2	1	1	1	1	2	1	1	1	1	1	1
OG0003333	2	2	1	1	1	1	2	1	1	1	1	1	1
OG0003334	1	1	2	1	1	1	1	1	2	1	1	1	2
OG0003335	3	1	1	2	1	1	1	1	1	1	1	1	1
OG0003336	2	1	1	1	2	1	2	1	1	1	1	1	1
OG0003337	1	0	0	1	0	3	0	6	1	0	2	1	1
OG0003338	1	1	1	1	1	1	3	1	2	1	1	1	1
OG0003339	3	1	1	1	1	1	1	1	1	1	2	1	1
OG0003340	1	1	1	1	1	2	1	1	1	1	3	1	1
OG0003341	2	1	1	1	1	1	1	1	3	1	1	1	1
OG0003342	2	1	1	1	1	1	1	1	1	1	1	2	2
OG0003343	2	1	1	1	1	3	1	1	1	1	1	1	1
OG0003344	3	1	2	1	1	1	1	1	1	1	1	1	1
OG0003345	2	1	1	0	1	1	2	1	1	1	2	2	1
OG0003346	2	1	1	1	1	1	1	1	2	1	1	2	1
OG0003347	2	1	1	1	1	1	1	1	1	2	2	1	1
OG0003348	1	1	1	1	1	1	2	1	2	1	1	2	1
OG0003349	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003350	2	1	1	1	1	1	1	1	2	2	1	1	1
OG0003351	2	1	1	1	1	2	1	1	1	1	1	2	1
OG0003352	2	1	1	1	1	1	1	1	1	2	1	2	1
OG0003353	2	1	1	1	1	2	1	2	1	1	1	1	1
OG0003354	1	1	1	1	1	2	1	3	1	1	1	1	1
OG0003355	1	1	4	1	1	1	1	1	1	1	1	1	1
OG0003356	2	1	1	1	1	1	1	1	1	2	1	1	2
OG0003357	1	1	1	3	1	1	1	0	2	1	2	1	1
OG0003358	2	1	1	1	1	1	2	1	1	2	1	1	1
OG0003359	2	1	1	1	1	1	1	1	2	1	2	1	1
OG0003360	1	1	1	1	1	1	2	1	2	2	1	1	1
OG0003361	1	1	1	1	1	1	2	1	2	1	1	2	1
OG0003362	1	2	1	0	4	1	2	1	0	1	2	1	0
OG0003363	1	1	1	1	1	2	2	2	1	1	1	1	1
