elegans_gene_id,prot_length,file,elegans_gene_id,Your Input,Public Name
T14F9.5,139,1349.fa,T14F9.5,T14F9.5,lin-32
M60.6,181,134.fa,M60.6,M60.6,M60.6
C05D9.7,241,1350.fa,C05D9.7,C05D9.7,C05D9.7
F28A12.2,172,1351.fa,F28A12.2,F28A12.2,grl-12
C36B1.8,604,1352.fa,C36B1.8,C36B1.8,gls-1
W08E3.1,153,1353.fa,W08E3.1,W08E3.1,snr-2
T19A5.1,1057,1354.fa,T19A5.1,T19A5.1,ttc-17
F39B3.2,387,1355.fa,F39B3.2,F39B3.2,frpr-7
F58H7.1,237,1356.fa,F58H7.1,F58H7.1,F58H7.1
ZK121.2,473,1357.fa,ZK121.2,ZK121.2,ZK121.2
T12F5.4,1002,1358.fa,T12F5.4,T12F5.4,lin-59
C27D6.1,366,1359.fa,C27D6.1,C27D6.1,C27D6.1
F56C9.10,491,135.fa,F56C9.10,F56C9.10,F56C9.10
Y37D8A.17,261,1360.fa,Y37D8A.17,Y37D8A.17,npp-25
M163.1,88,1361.fa,M163.1,M163.1,M163.1
W10D9.4,107,1362.fa,W10D9.4,W10D9.4,nfyb-1
R04E5.10,374,1363.fa,R04E5.10,R04E5.10,ifd-1
F07F6.6,251,1364.fa,F07F6.6,F07F6.6,nmr-1
E01G6.1,1352,1365.fa,E01G6.1,E01G6.1,E01G6.1
C14C10.6,161,1366.fa,C14C10.6,C14C10.6,erg-28
T04F8.9,137,1367.fa,T04F8.9,T04F8.9,T04F8.9
C24B9.3,397,1368.fa,C24B9.3,C24B9.3,C24B9.3
F42H10.5,825,1369.fa,F42H10.5,F42H10.5,mig-39
K02F3.4,235,136.fa,K02F3.4,K02F3.4,zip-2
Y38A10A.2,332,1370.fa,Y38A10A.2,Y38A10A.2,Y38A10A.2
B0513.2,178,1371.fa,B0513.2,B0513.2,thoc-7
K06B4.12,287,1372.fa,K06B4.12,K06B4.12,twk-34
C09B8.7,566,1373.fa,C09B8.7,C09B8.7,pak-1
T12A7.2,359,1374.fa,T12A7.2,T12A7.2,T12A7.2
C08G5.6,80,1375.fa,C08G5.6,C08G5.6,C08G5.6
Y102E9.2,278,1376.fa,Y102E9.2,Y102E9.2,wdr-4
M106.2,402,1377.fa,M106.2,M106.2,M106.2
F59B2.2,199,1378.fa,F59B2.2,F59B2.2,skat-1
C33D12.1,255,1379.fa,C33D12.1,C33D12.1,ceh-31
Y119D3B.14,274,137.fa,Y119D3B.14,Y119D3B.14,Y119D3B.14
K03E5.1,227,1380.fa,K03E5.1,K03E5.1,neto-1
F52B10.2,166,1381.fa,F52B10.2,F52B10.2,hst-3.2
K07B1.4,322,1382.fa,K07B1.4,K07B1.4,K07B1.4
F58F6.1,84,1383.fa,F58F6.1,F58F6.1,col-104
E02H1.7,284,1384.fa,E02H1.7,E02H1.7,nhr-19
C50H2.13,164,1385.fa,C50H2.13,C50H2.13,C50H2.13
M03C11.3,501,1386.fa,M03C11.3,M03C11.3,M03C11.3
C42C1.2,480,1387.fa,C42C1.2,C42C1.2,ppm-1.H
C27F2.2,957,1388.fa,C27F2.2,C27F2.2,nca-2
R11G1.3,203,1389.fa,R11G1.3,R11G1.3,gst-11
F31D4.3,396,138.fa,F31D4.3,F31D4.3,fkb-6
Y65A5A.1,121,1390.fa,Y65A5A.1,Y65A5A.1,Y65A5A.1
C34E10.2,58,1391.fa,C34E10.2,C34E10.2,gop-2
Y43B11AR.1,102,1392.fa,Y43B11AR.1,Y43B11AR.1,Y43B11AR.1
K09G1.4,635,1393.fa,K09G1.4,K09G1.4,dop-2
T22H6.7,22,1394.fa,T22H6.7,T22H6.7,abf-6
T19H12.4,146,1395.fa,T19H12.4,T19H12.4,srd-33
C30G7.1,221,1396.fa,C30G7.1,C30G7.1,hil-1
F59B10.2,186,1397.fa,F59B10.2,F59B10.2,F59B10.2
Y105E8A.10,803,1398.fa,Y105E8A.10,Y105E8A.10,hpo-13
K07D4.6,80,1399.fa,K07D4.6,K07D4.6,K07D4.6
T14G11.1,214,139.fa,T14G11.1,T14G11.1,T14G11.1
F20G2.3,342,13.fa,F20G2.3,F20G2.3,F20G2.3
C12D12.1,512,1400.fa,C12D12.1,C12D12.1,C12D12.1
F54B11.3,899,1401.fa,F54B11.3,F54B11.3,unc-84
T05G5.9,435,1402.fa,T05G5.9,T05G5.9,gcc-2
C14F11.6,155,1403.fa,C14F11.6,C14F11.6,rml-3
F54C1.6,149,1404.fa,F54C1.6,F54C1.6,F54C1.6
C16A3.4,315,1405.fa,C16A3.4,C16A3.4,znf-622
ZC317.3,330,1406.fa,ZC317.3,ZC317.3,glc-3
F35C8.3,280,1407.fa,F35C8.3,F35C8.3,jkk-1
C26E6.8,530,1408.fa,C26E6.8,C26E6.8,ula-1
Y43F8C.13,125,1409.fa,Y43F8C.13,Y43F8C.13,Y43F8C.13
R90.1,653,140.fa,R90.1,R90.1,ttbk-7
C02C6.2,503,1410.fa,C02C6.2,C02C6.2,olrn-1
C34E10.10,196,1411.fa,C34E10.10,C34E10.10,C34E10.10
T07E3.3,252,1412.fa,T07E3.3,T07E3.3,T07E3.3
R107.5,88,1413.fa,R107.5,R107.5,R107.5
C34F6.1,1015,1414.fa,C34F6.1,C34F6.1,C34F6.1
C34H3.2,235,1415.fa,C34H3.2,C34H3.2,odd-2
Y70G10A.3,665,1416.fa,Y70G10A.3,Y70G10A.3,Y70G10A.3
T14B4.4,173,1417.fa,T14B4.4,T14B4.4,tsp-10
Y22F5A.6,279,1418.fa,Y22F5A.6,Y22F5A.6,lys-3
C09H10.3,437,1419.fa,C09H10.3,C09H10.3,nuo-1
C23H3.1,213,141.fa,C23H3.1,C23H3.1,egl-26
F10E7.4,778,1420.fa,F10E7.4,F10E7.4,spon-1
F23B12.5,499,1421.fa,F23B12.5,F23B12.5,dlat-1
R09B5.11,478,1422.fa,R09B5.11,R09B5.11,R09B5.11
F56F10.1,173,1423.fa,F56F10.1,F56F10.1,F56F10.1
Y39E4B.1,351,1424.fa,Y39E4B.1,Y39E4B.1,abce-1
C24H11.8,95,1425.fa,C24H11.8,C24H11.8,twk-39
Y32G9A.6,617,1426.fa,Y32G9A.6,Y32G9A.6,nphp-2
C35D10.6,202,1427.fa,C35D10.6,C35D10.6,C35D10.6
D1054.11,221,1428.fa,D1054.11,D1054.11,ule-3
C10F3.6,476,1429.fa,C10F3.6,C10F3.6,fut-8
F38E9.2,479,142.fa,F38E9.2,F38E9.2,nas-39
Y41D4B.24,87,1430.fa,Y41D4B.24,Y41D4B.24,Y41D4B.24
T21B6.3,731,1431.fa,T21B6.3,T21B6.3,T21B6.3
Y54F10AM.2,539,1432.fa,Y54F10AM.2,Y54F10AM.2,feh-1
M01F1.7,934,1433.fa,M01F1.7,M01F1.7,pitp-1
F26D10.9,610,1434.fa,F26D10.9,F26D10.9,atgp-1
B0272.2,179,1435.fa,B0272.2,B0272.2,memb-1
C05E11.4,511,1436.fa,C05E11.4,C05E11.4,amt-1
C15H9.5,524,1437.fa,C15H9.5,C15H9.5,C15H9.5
F43C9.2,159,1438.fa,F43C9.2,F43C9.2,F43C9.2
F19C6.3,428,1439.fa,F19C6.3,F19C6.3,F19C6.3
F56F10.2,299,143.fa,F56F10.2,F56F10.2,F56F10.2
F14F4.3,1230,1440.fa,F14F4.3,F14F4.3,mrp-5
F01G12.2,84,1441.fa,F01G12.2,F01G12.2,sur-7
C14B9.2,594,1442.fa,C14B9.2,C14B9.2,C14B9.2
F11A6.1,180,1443.fa,F11A6.1,F11A6.1,kpc-1
F10F2.3,159,1444.fa,F10F2.3,F10F2.3,lips-3
K07C10.1,772,1445.fa,K07C10.1,K07C10.1,ptr-13
F13H8.7,383,1446.fa,F13H8.7,F13H8.7,upb-1
F38A6.4,70,1447.fa,F38A6.4,F38A6.4,F38A6.4
R10E11.4,213,1448.fa,R10E11.4,R10E11.4,sqv-3
Y22D7AL.14,244,1449.fa,Y22D7AL.14,Y22D7AL.14,cht-4
T27F2.1,531,144.fa,T27F2.1,T27F2.1,skp-1
ZK1321.3,177,1450.fa,ZK1321.3,ZK1321.3,aqp-10
C16C10.2,262,1451.fa,C16C10.2,C16C10.2,C16C10.2
W06E11.4,247,1452.fa,W06E11.4,W06E11.4,sbds-1
F39H12.1,163,1453.fa,F39H12.1,F39H12.1,F39H12.1
F32D1.3,684,1454.fa,F32D1.3,F32D1.3,F32D1.3
F35H12.2,568,1455.fa,F35H12.2,F35H12.2,tbc-11
F35A5.4,270,1456.fa,F35A5.4,F35A5.4,idpp-5
F45E12.3,786,1457.fa,F45E12.3,F45E12.3,cul-4
K01G5.5,403,1458.fa,K01G5.5,K01G5.5,dkc-1
K11H3.7,300,1459.fa,K11H3.7,K11H3.7,twk-48
Y116A8C.9,225,145.fa,Y116A8C.9,Y116A8C.9,Y116A8C.9
K06A1.6,683,1460.fa,K06A1.6,K06A1.6,dgk-5
C32E8.7,400,1461.fa,C32E8.7,C32E8.7,ric-19
R01E6.6,288,1462.fa,R01E6.6,R01E6.6,glb-20
R07E5.1,638,1463.fa,R07E5.1,R07E5.1,gpch-1
T12E12.1,388,1464.fa,T12E12.1,T12E12.1,ari-2
F53B2.6,144,1465.fa,F53B2.6,F53B2.6,ham-1
E01A2.1,85,1466.fa,E01A2.1,E01A2.1,E01A2.1
C25A1.1,180,1467.fa,C25A1.1,C25A1.1,C25A1.1
W01A11.2,275,1468.fa,W01A11.2,W01A11.2,dgtr-1
DY3.1,106,1469.fa,DY3.1,DY3.1,tin-13
C39E6.4,271,146.fa,C39E6.4,C39E6.4,mls-2
C46A5.3,129,1470.fa,C46A5.3,C46A5.3,col-14
C35D10.12,359,1471.fa,C35D10.12,C35D10.12,C35D10.12
R09A8.5,208,1472.fa,R09A8.5,R09A8.5,R09A8.5
C53A5.5,237,1473.fa,C53A5.5,C53A5.5,kcnl-4
T14B1.1,214,1474.fa,T14B1.1,T14B1.1,T14B1.1
F52E1.9,159,1475.fa,F52E1.9,F52E1.9,F52E1.9
C38C10.2,493,1476.fa,C38C10.2,C38C10.2,slc-17.2
T02H6.11,106,1477.fa,T02H6.11,T02H6.11,T02H6.11
T05G5.3,318,1478.fa,T05G5.3,T05G5.3,cdk-1
C18B2.5,598,1479.fa,C18B2.5,C18B2.5,C18B2.5
K05F1.10,137,147.fa,K05F1.10,K05F1.10,K05F1.10
T23C6.4,224,1480.fa,T23C6.4,T23C6.4,T23C6.4
R04B3.1,499,1481.fa,R04B3.1,R04B3.1,R04B3.1
F25B5.2,97,1482.fa,F25B5.2,F25B5.2,nop-1
C30H6.10,69,1483.fa,C30H6.10,C30H6.10,trh-1
C03F11.3,553,1484.fa,C03F11.3,C03F11.3,scav-1
B0304.3,169,1485.fa,B0304.3,B0304.3,cyp-23A1
F18H3.1,117,1486.fa,F18H3.1,F18H3.1,F18H3.1
T06H11.4,325,1487.fa,T06H11.4,T06H11.4,moc-1
F39B1.1,1420,1488.fa,F39B1.1,F39B1.1,piki-1
F59F5.7,659,1489.fa,F59F5.7,F59F5.7,F59F5.7
C01C4.1,142,148.fa,C01C4.1,C01C4.1,nlp-1
M142.2,285,1490.fa,M142.2,M142.2,cut-6
ZC513.12,67,1491.fa,ZC513.12,ZC513.12,sth-1
C42D8.8,618,1492.fa,C42D8.8,C42D8.8,apl-1
C33A11.4,285,1493.fa,C33A11.4,C33A11.4,svh-5
Y41C4A.14,38,1494.fa,Y41C4A.14,Y41C4A.14,mrt-2
F53B1.8,715,1495.fa,F53B1.8,F53B1.8,F53B1.8
ZK418.11,81,1496.fa,ZK418.11,ZK418.11,ZK418.11
Y44A6C.1,243,1497.fa,Y44A6C.1,Y44A6C.1,Y44A6C.1
F57B7.1,230,1498.fa,F57B7.1,F57B7.1,dmsr-1
F44B9.4,69,1499.fa,F44B9.4,F44B9.4,cit-1.1
R11H6.4,68,149.fa,R11H6.4,R11H6.4,R11H6.4
Y47D3A.23,61,14.fa,Y47D3A.23,Y47D3A.23,gly-9
T24D8.5,168,1500.fa,T24D8.5,T24D8.5,nlp-2
ZC404.3,457,1501.fa,ZC404.3,ZC404.3,spe-39
ZK637.2,81,1502.fa,ZK637.2,ZK637.2,famh-136
C36E6.2,235,1503.fa,C36E6.2,C36E6.2,C36E6.2
R06F6.2,841,1504.fa,R06F6.2,R06F6.2,vps-11
F15D3.7,171,1505.fa,F15D3.7,F15D3.7,timm-23
C05D11.7,279,1506.fa,C05D11.7,C05D11.7,atgl-1
C44B9.1,601,1507.fa,C44B9.1,C44B9.1,vps-50
C25A8.4,946,1508.fa,C25A8.4,C25A8.4,cht-3
F38A5.3,114,1509.fa,F38A5.3,F38A5.3,lec-11
C23G10.8,873,150.fa,C23G10.8,C23G10.8,sna-3
F23B12.7,399,1510.fa,F23B12.7,F23B12.7,F23B12.7
ZK662.2,216,1511.fa,ZK662.2,ZK662.2,ZK662.2
T16G1.11,238,1512.fa,T16G1.11,T16G1.11,eif-3.K
F22A3.5,274,1513.fa,F22A3.5,F22A3.5,ceh-60
C28H8.5,160,1514.fa,C28H8.5,C28H8.5,C28H8.5
D2023.3,173,1515.fa,D2023.3,D2023.3,D2023.3
C02F4.2,355,1516.fa,C02F4.2,C02F4.2,tax-6
M02F4.7,288,1517.fa,M02F4.7,M02F4.7,clec-265
T03F6.3,202,1518.fa,T03F6.3,T03F6.3,T03F6.3
F18G5.3,343,1519.fa,F18G5.3,F18G5.3,gpa-12
F13H10.5,81,151.fa,F13H10.5,F13H10.5,F13H10.5
F16H11.4,131,1520.fa,F16H11.4,F16H11.4,ceh-1
Y111B2A.17,511,1521.fa,Y111B2A.17,Y111B2A.17,elpc-2
T21C12.2,393,1522.fa,T21C12.2,T21C12.2,hpd-1
K09C4.8,603,1523.fa,K09C4.8,K09C4.8,sul-1
T03D8.6,388,1524.fa,T03D8.6,T03D8.6,T03D8.6
T05E11.5,457,1525.fa,T05E11.5,T05E11.5,imp-2
Y45F3A.4,104,1526.fa,Y45F3A.4,Y45F3A.4,Y45F3A.4
ZC395.10,172,1527.fa,ZC395.10,ZC395.10,daf-41
T10H9.5,172,1528.fa,T10H9.5,T10H9.5,pmp-5
C16A3.7,952,1529.fa,C16A3.7,C16A3.7,nfx-1
F13D2.3,316,152.fa,F13D2.3,F13D2.3,gnrr-7
T19D12.7,261,1530.fa,T19D12.7,T19D12.7,oig-8
Y12A6A.1,165,1531.fa,Y12A6A.1,Y12A6A.1,Y12A6A.1
F27D9.1,589,1532.fa,F27D9.1,F27D9.1,unc-18
F55A12.7,425,1533.fa,F55A12.7,F55A12.7,apm-1
R04B5.4,421,1534.fa,R04B5.4,R04B5.4,nhr-12
B0024.15,260,1535.fa,B0024.15,B0024.15,B0024.15
F25D7.2,204,1536.fa,F25D7.2,F25D7.2,tag-353
R08A2.7,128,1537.fa,R08A2.7,R08A2.7,R08A2.7
F47A4.5,999,1538.fa,F47A4.5,F47A4.5,ipla-2
K02E10.8,673,1539.fa,K02E10.8,K02E10.8,syg-1
PDB1.1,341,153.fa,PDB1.1,PDB1.1,PDB1.1
C15B12.6,321,1540.fa,C15B12.6,C15B12.6,actl-1
Y55F3AM.14,99,1541.fa,Y55F3AM.14,Y55F3AM.14,znf-782
T04F8.8,58,1542.fa,T04F8.8,T04F8.8,T04F8.8
C14B1.1,242,1543.fa,C14B1.1,C14B1.1,pdi-1
F29F11.3,235,1544.fa,F29F11.3,F29F11.3,tut-2
F56A8.7,247,1545.fa,F56A8.7,F56A8.7,unc-64
ZC434.8,354,1546.fa,ZC434.8,ZC434.8,ZC434.8
ZC373.4,1053,1547.fa,ZC373.4,ZC373.4,mlck-1
Y97E10AL.3,96,1548.fa,Y97E10AL.3,Y97E10AL.3,natb-1
C53C11.5,150,1549.fa,C53C11.5,C53C11.5,C53C11.5
Y50D7A.2,489,154.fa,Y50D7A.2,Y50D7A.2,xpd-1
F48F7.2,294,1550.fa,F48F7.2,F48F7.2,syx-2
C47B2.5,239,1551.fa,C47B2.5,C47B2.5,eif-6
T28D6.7,52,1552.fa,T28D6.7,T28D6.7,T28D6.7
F08B12.1,703,1553.fa,F08B12.1,F08B12.1,prmn-1
E02C12.5,339,1554.fa,E02C12.5,E02C12.5,gpa-3
F41G3.12,655,1555.fa,F41G3.12,F41G3.12,agr-1
T19D7.1,122,1556.fa,T19D7.1,T19D7.1,lgc-32
R07E4.6,309,1557.fa,R07E4.6,R07E4.6,kin-2
C30C11.1,94,1558.fa,C30C11.1,C30C11.1,mrpl-32
T13C5.5,258,1559.fa,T13C5.5,T13C5.5,bca-1
C31E10.7,134,155.fa,C31E10.7,C31E10.7,cytb-5.1
T21B10.5,251,1560.fa,T21B10.5,T21B10.5,set-17
C37A5.7,206,1561.fa,C37A5.7,C37A5.7,C37A5.7
T21C9.12,434,1562.fa,T21C9.12,T21C9.12,scpl-4
ZC412.10,83,1563.fa,ZC412.10,ZC412.10,ZC412.10
D2013.2,120,1564.fa,D2013.2,D2013.2,wdfy-2
R144.6,326,1565.fa,R144.6,R144.6,R144.6
F33A8.6,158,1566.fa,F33A8.6,F33A8.6,ilkp-1
F55D10.4,289,1567.fa,F55D10.4,F55D10.4,F55D10.4
C34F6.4,263,1568.fa,C34F6.4,C34F6.4,hst-2
C52E4.7,206,1569.fa,C52E4.7,C52E4.7,C52E4.7
F40G9.17,230,156.fa,F40G9.17,F40G9.17,F40G9.17
T05C12.7,434,1570.fa,T05C12.7,T05C12.7,cct-1
Y38H6A.3,82,1571.fa,Y38H6A.3,Y38H6A.3,Y38H6A.3
D1073.1,536,1572.fa,D1073.1,D1073.1,trk-1
C38C10.1,248,1573.fa,C38C10.1,C38C10.1,tkr-1
F49E2.4,203,1574.fa,F49E2.4,F49E2.4,glb-17
R144.5,490,1575.fa,R144.5,R144.5,smcr-8
Y56A3A.17,219,1576.fa,Y56A3A.17,Y56A3A.17,npp-16
R09H10.5,1574,1577.fa,R09H10.5,R09H10.5,R09H10.5
R04E5.2,581,1578.fa,R04E5.2,R04E5.2,cnnm-2
Y54E5A.8,122,1579.fa,Y54E5A.8,Y54E5A.8,Y54E5A.8
F12F6.5,979,157.fa,F12F6.5,F12F6.5,srgp-1
F38E9.5,333,1580.fa,F38E9.5,F38E9.5,twf-2
C53B7.3,147,1581.fa,C53B7.3,C53B7.3,C53B7.3
C56E10.4,4,1582.fa,C56E10.4,C56E10.4,nhr-137
C07D10.4,380,1583.fa,C07D10.4,C07D10.4,nas-7
H23N18.5,51,1584.fa,H23N18.5,H23N18.5,H23N18.5
R07G3.7,191,1585.fa,R07G3.7,R07G3.7,R07G3.7
F22B7.1,6,1586.fa,F22B7.1,F22B7.1,F22B7.1
T04C10.1,706,1587.fa,T04C10.1,T04C10.1,mbk-1
C18H9.7,557,1588.fa,C18H9.7,C18H9.7,rpy-1
ZK1058.5,218,1589.fa,ZK1058.5,ZK1058.5,metl-6
F27C8.4,98,158.fa,F27C8.4,F27C8.4,spp-18
F31E8.4,122,1590.fa,F31E8.4,F31E8.4,F31E8.4
T14B4.1,439,1591.fa,T14B4.1,T14B4.1,T14B4.1
B0250.5,155,1592.fa,B0250.5,B0250.5,B0250.5
T21H8.1,690,1593.fa,T21H8.1,T21H8.1,hlb-1
C46C11.1,877,1594.fa,C46C11.1,C46C11.1,hosl-1
Y66D12A.15,757,1595.fa,Y66D12A.15,Y66D12A.15,xpb-1
T04A8.12,38,1596.fa,T04A8.12,T04A8.12,pgap-2
Y15E3A.2,180,1597.fa,Y15E3A.2,Y15E3A.2,glb-28
B0035.5,431,1598.fa,B0035.5,B0035.5,gspd-1
F42F12.4,84,1599.fa,F42F12.4,F42F12.4,F42F12.4
F32B4.5,207,159.fa,F32B4.5,F32B4.5,F32B4.5
T14G12.3,201,15.fa,T14G12.3,T14G12.3,tag-18
C14A11.2,168,1600.fa,C14A11.2,C14A11.2,C14A11.2
B0001.1,257,1601.fa,B0001.1,B0001.1,lin-24
T03G11.10,56,1602.fa,T03G11.10,T03G11.10,T03G11.10
F09A5.2,34,1603.fa,F09A5.2,F09A5.2,F09A5.2
F59F5.6,1063,1604.fa,F59F5.6,F59F5.6,syd-2
Y39A1C.3,220,1605.fa,Y39A1C.3,Y39A1C.3,cey-4
C53D6.7,311,1606.fa,C53D6.7,C53D6.7,C53D6.7
H13N06.5,327,1607.fa,H13N06.5,H13N06.5,zipt-7.2
K08E3.4,546,1608.fa,K08E3.4,K08E3.4,dbn-1
B0041.6,134,1609.fa,B0041.6,B0041.6,ptps-1
T22C1.5,126,160.fa,T22C1.5,T22C1.5,T22C1.5
JC8.6,369,1610.fa,JC8.6,JC8.6,lin-54
C01B10.8,655,1611.fa,C01B10.8,C01B10.8,C01B10.8
M03F4.3,342,1612.fa,M03F4.3,M03F4.3,tyra-3
Y48A6A.1,238,1613.fa,Y48A6A.1,Y48A6A.1,zig-5
Y105E8A.3,635,1614.fa,Y105E8A.3,Y105E8A.3,slc-30A5
Y94H6A.6,67,1615.fa,Y94H6A.6,Y94H6A.6,ubc-8
Y42A5A.4,325,1616.fa,Y42A5A.4,Y42A5A.4,cdkl-1
K09C8.2,247,1617.fa,K09C8.2,K09C8.2,K09C8.2
K04D7.1,325,1618.fa,K04D7.1,K04D7.1,rack-1
C41C4.6,255,1619.fa,C41C4.6,C41C4.6,ulp-4
Y47H9C.2,251,161.fa,Y47H9C.2,Y47H9C.2,dhhc-2
C23F12.4,183,1620.fa,C23F12.4,C23F12.4,C23F12.4
F56B6.6,69,1621.fa,F56B6.6,F56B6.6,F56B6.6
F25B4.4,198,1622.fa,F25B4.4,F25B4.4,F25B4.4
H18N23.2,342,1623.fa,H18N23.2,H18N23.2,H18N23.2
F09B9.3,213,1624.fa,F09B9.3,F09B9.3,erd-2.1
Y39A1A.14,231,1625.fa,Y39A1A.14,Y39A1A.14,emg-1
F54H12.1,528,1626.fa,F54H12.1,F54H12.1,aco-2
C43H6.7,245,1627.fa,C43H6.7,C43H6.7,dhhc-9
C14B9.8,1093,1628.fa,C14B9.8,C14B9.8,C14B9.8
C15H9.4,290,1629.fa,C15H9.4,C15H9.4,C15H9.4
Y102F5A.1,0,162.fa,Y102F5A.1,Y102F5A.1,Y102F5A.1
C44B7.4,147,1630.fa,C44B7.4,C44B7.4,clhm-1
F10E7.6,128,1631.fa,F10E7.6,F10E7.6,F10E7.6
F49E10.5,540,1632.fa,F49E10.5,F49E10.5,ctbp-1
VF13D12L.3,190,1633.fa,VF13D12L.3,VF13D12L.3,VF13D12L.3
K02G10.1,237,1634.fa,K02G10.1,K02G10.1,dhhc-10
R13H4.7,341,1635.fa,R13H4.7,R13H4.7,R13H4.7
C11E4.6,1111,1636.fa,C11E4.6,C11E4.6,C11E4.6
F47D12.4,230,1637.fa,F47D12.4,F47D12.4,hmg-1.2
Y45G12B.3,433,1638.fa,Y45G12B.3,Y45G12B.3,Y45G12B.3
C48B6.9,171,1639.fa,C48B6.9,C48B6.9,C48B6.9
D2045.9,351,163.fa,D2045.9,D2045.9,D2045.9
T24B8.2,351,1640.fa,T24B8.2,T24B8.2,chmp-7
Y56A3A.31,230,1641.fa,Y56A3A.31,Y56A3A.31,Y56A3A.31
T13C5.4,78,1642.fa,T13C5.4,T13C5.4,ceh-54
VW06B3R.1,406,1643.fa,VW06B3R.1,VW06B3R.1,ucr-2.1
F56D2.7,458,1644.fa,F56D2.7,F56D2.7,ced-6
F55B12.1,138,1645.fa,F55B12.1,F55B12.1,ceh-24
Y105E8A.6,340,1646.fa,Y105E8A.6,Y105E8A.6,unc-95
R07B1.11,120,1647.fa,R07B1.11,R07B1.11,R07B1.11
ZK563.7,317,1648.fa,ZK563.7,ZK563.7,ZK563.7
K05B2.2,126,1649.fa,K05B2.2,K05B2.2,K05B2.2
T21D12.12,161,164.fa,T21D12.12,T21D12.12,T21D12.12
Y57G7A.9,119,1650.fa,Y57G7A.9,Y57G7A.9,glb-31
H28G03.6,1708,1651.fa,H28G03.6,H28G03.6,mtm-5
F23F1.4,234,1652.fa,F23F1.4,F23F1.4,F23F1.4
Y55B1BL.1,82,1653.fa,Y55B1BL.1,Y55B1BL.1,Y55B1BL.1
F14H12.3,235,1654.fa,F14H12.3,F14H12.3,F14H12.3
Y39A1A.5,474,1655.fa,Y39A1A.5,Y39A1A.5,rabx-5
C14B4.2,1173,1656.fa,C14B4.2,C14B4.2,C14B4.2
Y75B8A.17,70,1657.fa,Y75B8A.17,Y75B8A.17,gmn-1
C34B7.2,70,1658.fa,C34B7.2,C34B7.2,figo-1
C37H5.1,343,1659.fa,C37H5.1,C37H5.1,nex-4
C54D1.4,461,165.fa,C54D1.4,C54D1.4,alh-10
C54D2.4,254,1660.fa,C54D2.4,C54D2.4,sul-3
F18H3.3,624,1661.fa,F18H3.3,F18H3.3,pab-2
Y59A8B.20,97,1662.fa,Y59A8B.20,Y59A8B.20,lon-8
ZC376.6,772,1663.fa,ZC376.6,ZC376.6,ints-2
C40H5.4,693,1664.fa,C40H5.4,C40H5.4,lact-7
T07C4.9,383,1665.fa,T07C4.9,T07C4.9,nex-2
M106.3,339,1666.fa,M106.3,M106.3,M106.3
F58F6.4,115,1667.fa,F58F6.4,F58F6.4,rfc-2
Y53F4B.39,288,1668.fa,Y53F4B.39,Y53F4B.39,Y53F4B.39
K01C8.6,235,1669.fa,K01C8.6,K01C8.6,mrpl-10
T22B2.4,241,166.fa,T22B2.4,T22B2.4,sup-12
Y71A12B.1,241,1670.fa,Y71A12B.1,Y71A12B.1,rps-6
F14F3.3,442,1671.fa,F14F3.3,F14F3.3,mboa-7
T01B4.3,107,1672.fa,T01B4.3,T01B4.3,T01B4.3
B0035.4,126,1673.fa,B0035.4,B0035.4,pfd-4
K04H4.2,516,1674.fa,K04H4.2,K04H4.2,chtb-1
F54F2.8,105,1675.fa,F54F2.8,F54F2.8,prx-19
C14B9.1,110,1676.fa,C14B9.1,C14B9.1,hsp-12.2
C24B5.3,763,1677.fa,C24B5.3,C24B5.3,ptr-1
C05E11.1,301,1678.fa,C05E11.1,C05E11.1,lnp-1
K08F8.7,137,1679.fa,K08F8.7,K08F8.7,K08F8.7
T08B2.10,130,167.fa,T08B2.10,T08B2.10,rps-17
B0198.1,279,1680.fa,B0198.1,B0198.1,tsp-20
Y70C5A.2,151,1681.fa,Y70C5A.2,Y70C5A.2,Y70C5A.2
C03A3.1,281,1682.fa,C03A3.1,C03A3.1,C03A3.1
F22F4.1,513,1683.fa,F22F4.1,F22F4.1,sups-1
T03D8.5,367,1684.fa,T03D8.5,T03D8.5,gcy-22
T20H4.3,564,1685.fa,T20H4.3,T20H4.3,pars-1
K07E3.7,1038,1686.fa,K07E3.7,K07E3.7,catp-5
Y105E8A.4,188,1687.fa,Y105E8A.4,Y105E8A.4,ech-7
Y47H9C.4,980,1688.fa,Y47H9C.4,Y47H9C.4,ced-1
F53H4.3,191,1689.fa,F53H4.3,F53H4.3,F53H4.3
R186.3,182,168.fa,R186.3,R186.3,R186.3
C13C4.4,237,1690.fa,C13C4.4,C13C4.4,C13C4.4
T14C1.1,338,1691.fa,T14C1.1,T14C1.1,frpr-17
F40F11.1,155,1692.fa,F40F11.1,F40F11.1,rps-11
C26E6.2,391,1693.fa,C26E6.2,C26E6.2,flh-2
Y41E3.7,241,1694.fa,Y41E3.7,Y41E3.7,Y41E3.7
T14F9.3,442,1695.fa,T14F9.3,T14F9.3,hex-1
Y34B4A.7,257,1696.fa,Y34B4A.7,Y34B4A.7,Y34B4A.7
ZK1236.7,311,1697.fa,ZK1236.7,ZK1236.7,ufbp-1
K03E6.7,420,1698.fa,K03E6.7,K03E6.7,rei-2
F11C1.2,97,1699.fa,F11C1.2,F11C1.2,mff-1
D1007.10,234,169.fa,D1007.10,D1007.10,D1007.10
T12A7.6,355,16.fa,T12A7.6,T12A7.6,T12A7.6
