file,brenneri,briggsae,doughertyi,elegans,inopinata,latens,nigoni,remanei,sinica,sp26,sp40,tropicalis,wallacei,kamaaina
503.fa,2,3,2,8,16,1,2,0,0,0,1,3,1,5
1027.fa,1,0,0,5,16,0,0,8,2,1,1,3,1,7
2376.fa,5,0,3,6,16,1,0,1,2,0,0,5,4,2
1728.fa,0,0,3,8,16,0,0,0,2,1,2,1,1,12
1523.fa,2,1,3,2,16,1,1,0,2,2,1,1,3,12
672.fa,3,1,6,3,16,0,0,0,1,1,1,2,2,14
2565.fa,8,3,1,4,16,0,0,0,0,0,1,0,0,19
1294.fa,6,5,1,5,16,0,2,1,1,5,2,1,0,8
1368.fa,2,0,3,4,16,2,1,0,1,0,3,5,0,16
2774.fa,3,0,4,2,16,0,0,0,13,1,1,7,2,4
2293.fa,2,1,7,7,16,0,0,0,0,4,1,3,5,8
1575.fa,5,0,2,5,16,0,0,0,2,1,3,7,2,12
2060.fa,0,2,4,5,16,0,0,1,1,3,3,6,1,14
1919.fa,4,2,2,7,16,0,1,0,3,1,2,3,1,16
825.fa,23,1,3,2,16,1,0,1,3,0,1,1,1,7
571.fa,2,1,2,7,16,2,1,0,3,4,2,5,0,16
2269.fa,6,3,2,11,16,0,0,1,0,0,1,10,2,12
132.fa,1,1,2,6,16,0,0,0,0,1,1,19,2,16
1471.fa,9,2,6,2,16,0,0,0,11,4,4,3,0,8
1738.fa,2,0,0,1,16,0,0,0,0,4,0,2,0,40
851.fa,11,2,9,3,16,1,0,0,1,1,2,7,1,12
982.fa,7,0,0,2,16,0,0,0,9,2,3,9,0,19
1328.fa,3,1,4,10,16,1,7,0,0,1,4,4,3,14
736.fa,3,0,3,2,16,5,0,0,1,0,1,30,7,3
1398.fa,3,2,13,8,16,0,0,3,1,1,2,3,4,17
1555.fa,1,3,3,18,16,1,0,0,6,0,5,5,3,12
2303.fa,6,0,6,12,16,0,1,2,5,5,3,5,4,10
438.fa,5,3,9,10,16,3,2,2,6,1,2,6,0,12
21.fa,5,3,4,9,16,2,1,0,1,1,6,5,5,20
2766.fa,20,2,3,7,16,1,1,2,2,0,5,4,5,12
1117.fa,2,13,10,8,16,0,2,3,3,3,4,3,2,12
740.fa,9,0,6,5,16,2,0,0,2,3,7,7,2,25
1242.fa,17,2,7,5,16,2,1,1,2,0,3,2,0,27
1992.fa,4,31,0,12,16,0,1,0,1,1,3,12,1,11
2185.fa,0,0,2,2,15,0,0,0,0,0,0,1,0,2
50.fa,3,0,0,1,15,0,0,0,1,2,0,0,0,4
694.fa,2,1,0,2,15,0,0,1,0,0,0,2,1,2
1784.fa,0,2,0,1,15,1,2,0,0,0,1,2,1,2
161.fa,0,0,1,2,15,0,0,0,2,1,0,1,0,6
225.fa,2,0,1,4,15,0,1,2,0,0,0,2,1,0
620.fa,0,0,0,3,15,1,1,1,2,0,2,0,1,2
2021.fa,2,1,1,1,15,0,0,0,1,0,0,4,0,4
2690.fa,3,0,3,0,15,0,0,0,0,1,0,4,1,2
8.fa,0,1,0,1,15,1,0,0,0,0,1,0,0,11
2038.fa,1,2,0,2,15,1,0,0,1,1,4,0,1,5
2279.fa,0,0,3,1,15,0,0,1,0,0,1,4,1,8
340.fa,0,0,1,7,15,1,0,0,1,1,1,3,1,4
128.fa,0,1,1,3,15,0,0,0,0,4,1,2,1,9
1108.fa,6,0,6,3,15,0,1,1,0,0,0,1,0,5
12.fa,0,0,1,5,15,0,0,0,0,0,0,2,0,15
361.fa,0,0,0,8,15,1,0,1,1,0,2,1,0,10
1078.fa,0,0,4,8,15,0,1,0,5,1,0,0,0,6
1605.fa,1,1,2,11,15,1,0,0,0,0,0,3,1,5
675.fa,0,0,0,2,15,0,0,8,3,0,0,0,2,11
1623.fa,2,0,1,14,15,1,0,0,0,3,2,1,0,4
1030.fa,1,0,0,5,15,0,0,0,15,1,0,1,1,6
1808.fa,3,1,2,5,15,3,1,1,3,1,3,6,1,3
846.fa,1,0,3,5,15,0,2,13,0,0,1,2,0,6
1816.fa,4,2,2,3,15,3,1,0,0,1,4,3,0,11
2636.fa,4,0,3,8,15,0,1,1,3,0,1,0,1,12
1012.fa,9,1,5,4,15,0,0,1,1,0,4,3,0,8
411.fa,1,0,2,8,15,0,0,0,0,3,0,0,1,21
1111.fa,1,0,2,10,15,1,2,1,3,1,1,3,1,11
2124.fa,4,0,0,4,15,0,1,3,0,0,2,7,1,15
135.fa,3,1,2,0,15,0,0,0,1,2,5,3,3,18
2154.fa,1,0,3,8,15,0,1,0,4,1,2,1,0,17
268.fa,0,1,2,7,15,0,1,0,1,1,2,18,0,5
2243.fa,1,2,4,6,15,2,0,2,6,1,1,1,0,13
1974.fa,5,1,1,3,15,0,1,7,1,0,0,3,3,15
1874.fa,2,19,3,5,15,0,0,0,0,0,1,0,2,9
875.fa,2,3,3,4,15,1,0,0,2,0,0,3,2,21
1326.fa,3,0,5,2,15,3,0,2,1,1,1,2,2,20
2246.fa,2,2,5,12,15,0,1,1,1,2,3,3,5,5
2345.fa,2,1,5,3,15,1,12,0,0,2,3,1,2,10
2580.fa,6,2,0,3,15,0,0,0,8,4,2,4,3,10
1912.fa,3,2,2,6,15,0,3,1,1,5,3,1,2,14
408.fa,0,3,5,9,15,0,0,0,4,4,2,4,2,19
304.fa,1,1,3,2,15,0,1,0,0,0,38,3,0,4
17.fa,6,2,6,9,15,1,0,3,3,3,5,2,1,13
1802.fa,0,1,0,6,15,0,3,0,3,3,2,3,1,32
2556.fa,9,5,1,7,15,0,1,1,1,1,4,15,3,13
1865.fa,7,1,1,7,15,1,6,0,0,0,5,7,5,25
1103.fa,2,1,9,24,15,0,0,3,0,0,15,0,2,11
436.fa,2,0,5,11,15,1,1,1,3,0,5,24,1,14
1426.fa,7,3,4,13,15,0,1,0,3,0,3,8,7,21
2457.fa,19,2,5,11,15,1,0,0,7,0,3,1,1,22
1578.fa,19,1,1,7,15,0,11,0,2,1,3,9,1,18
2474.fa,5,1,14,8,15,1,2,11,1,4,2,5,0,21
657.fa,0,1,3,10,15,0,1,0,0,1,3,5,2,49
791.fa,4,1,2,11,15,0,1,27,7,5,2,4,0,16
2749.fa,10,2,6,19,15,0,0,2,3,5,4,8,8,18
2226.fa,2,2,7,1,15,2,0,2,3,1,2,19,0,57
881.fa,13,6,6,9,15,2,4,4,8,0,8,13,6,25
1730.fa,1,0,1,3,14,0,0,0,0,0,0,0,1,2
1382.fa,1,0,0,3,14,0,0,1,0,0,0,0,0,6
1967.fa,0,0,0,2,14,0,0,1,0,0,1,5,0,3
2426.fa,3,0,0,1,14,0,0,0,1,1,1,0,1,4
1669.fa,0,0,0,2,14,0,0,1,1,2,0,4,0,3
2282.fa,1,0,1,9,14,0,0,0,0,0,1,0,0,3
2515.fa,1,1,1,2,14,0,1,2,0,0,1,0,0,6
16.fa,0,0,4,2,14,0,1,0,1,2,3,1,1,1
2673.fa,4,0,0,1,14,0,1,1,0,0,1,0,1,10
2677.fa,2,0,3,3,14,2,0,0,1,2,1,1,1,3
570.fa,1,0,1,1,14,2,0,10,1,0,1,0,0,2
1464.fa,0,1,1,2,14,0,0,0,0,0,0,1,7,8
1517.fa,3,1,1,1,14,2,0,0,2,1,1,2,0,7
2765.fa,1,0,2,4,14,0,0,1,0,1,1,0,1,10
1397.fa,1,0,2,3,14,1,1,1,0,2,1,2,2,6
1671.fa,0,2,3,6,14,1,2,2,1,1,2,0,1,1
772.fa,1,2,2,4,14,0,0,0,1,0,1,1,2,8
1134.fa,0,0,10,0,14,0,1,0,0,1,0,1,0,10
1412.fa,0,0,3,5,14,1,0,0,1,2,2,1,1,8
2464.fa,0,1,1,4,14,0,2,4,1,3,2,2,0,5
1853.fa,1,0,4,7,14,2,0,1,2,1,2,2,0,4
523.fa,2,2,2,4,14,0,2,0,1,1,1,3,0,8
1026.fa,2,1,6,3,14,0,0,2,0,0,1,4,0,8
2298.fa,1,0,2,7,14,0,6,1,1,0,2,3,0,4
1851.fa,1,1,2,5,14,2,1,0,2,2,4,0,4,4
993.fa,5,0,1,1,14,0,1,0,2,1,2,6,1,8
2750.fa,0,1,2,7,14,2,0,1,1,0,2,1,0,12
1304.fa,1,1,0,8,14,0,0,0,1,0,2,1,7,9
766.fa,13,2,1,4,14,1,1,0,1,2,1,1,0,3
1868.fa,3,0,7,5,14,0,0,0,1,0,2,5,1,7
2371.fa,6,0,1,1,14,0,0,0,9,2,1,4,2,5
2739.fa,3,0,3,6,14,0,1,0,0,0,0,6,1,11
1174.fa,4,2,1,6,14,0,0,0,3,3,2,1,2,8
1487.fa,0,1,0,5,14,0,0,1,1,1,2,0,2,20
2097.fa,2,2,4,5,14,5,1,1,1,2,2,2,1,5
348.fa,6,2,3,7,14,2,0,1,0,1,1,1,2,7
221.fa,2,1,2,9,14,0,0,6,2,0,2,2,0,10
494.fa,2,0,2,6,14,0,0,0,3,1,0,18,0,5
2520.fa,14,0,2,6,14,0,1,1,3,2,0,2,1,7
2423.fa,4,1,7,6,14,0,1,1,0,2,2,6,6,5
458.fa,5,0,3,5,14,1,0,8,1,0,3,5,5,7
626.fa,0,1,0,3,14,26,2,0,0,0,0,0,1,10
326.fa,11,0,4,6,14,1,1,1,5,0,3,2,0,10
434.fa,5,0,3,11,14,0,0,0,3,3,3,3,2,13
2135.fa,2,2,2,5,14,3,0,0,1,3,2,1,6,20
1279.fa,4,0,2,6,14,0,0,1,8,1,2,14,6,4
1661.fa,5,1,5,4,14,1,0,0,2,3,7,2,3,15
991.fa,2,1,6,8,14,1,2,1,6,4,0,5,4,8
660.fa,4,1,0,2,14,0,1,0,6,0,2,1,2,30
554.fa,6,1,13,10,14,0,1,0,5,2,3,4,5,8
2180.fa,2,1,1,16,14,1,0,5,1,5,3,4,2,20
2519.fa,3,2,3,4,14,1,0,0,1,3,4,4,1,35
727.fa,10,4,2,3,14,0,0,0,19,0,6,6,1,10
751.fa,1,0,1,38,14,0,0,0,13,1,0,1,0,12
2472.fa,9,8,10,5,14,0,0,4,1,4,3,4,3,17
441.fa,1,1,2,14,14,2,0,0,15,1,14,1,0,24
2203.fa,4,2,6,14,14,0,2,0,2,5,4,1,10,37
2597.fa,0,0,1,3,14,1,60,0,0,2,3,0,0,17
219.fa,11,1,10,6,14,1,1,0,1,2,12,10,2,32
2374.fa,5,1,3,14,14,1,0,0,12,2,10,7,5,37
2040.fa,11,1,6,25,14,0,0,4,4,8,5,4,2,28
2025.fa,0,0,0,0,13,0,0,0,1,1,0,0,0,0
2010.fa,2,0,0,0,13,0,0,0,0,0,0,0,2,2
831.fa,1,0,0,1,13,0,0,0,0,0,1,1,0,3
2232.fa,1,1,0,1,13,0,0,0,0,0,1,3,1,1
456.fa,0,0,0,4,13,1,0,1,0,1,0,0,0,2
1092.fa,3,0,0,3,13,0,1,0,0,1,0,0,0,2
1668.fa,0,0,0,4,13,0,1,0,0,4,0,0,0,1
2026.fa,2,2,2,1,13,0,0,0,0,1,0,1,0,1
602.fa,1,0,0,1,13,0,0,0,2,0,0,1,2,3
1456.fa,0,1,2,5,13,0,0,0,0,0,0,0,1,5
1528.fa,0,0,0,4,13,0,0,0,2,0,0,3,1,4
723.fa,0,1,0,2,13,0,1,0,0,0,4,0,4,3
1138.fa,1,0,0,2,13,0,0,0,0,2,2,1,0,10
1678.fa,1,1,0,3,13,0,0,0,0,4,1,0,4,4
1446.fa,0,1,2,5,13,1,0,0,1,0,0,1,1,7
39.fa,1,0,0,1,13,0,0,0,0,0,0,16,0,1
2542.fa,2,1,1,0,13,0,0,1,9,1,0,0,1,4
2104.fa,4,1,0,0,13,0,0,1,0,0,1,0,14,0
285.fa,2,2,1,5,13,0,1,0,1,2,0,1,0,6
2002.fa,4,0,2,3,13,1,0,0,1,0,1,5,3,2
1158.fa,1,1,1,3,13,1,0,4,1,0,2,0,0,10
1297.fa,1,0,3,5,13,0,9,0,1,0,0,2,0,3
1981.fa,5,0,0,3,13,1,1,0,4,3,0,1,1,5
2687.fa,3,1,5,6,13,0,0,0,1,0,0,0,1,7
817.fa,1,1,5,4,13,3,0,1,1,2,1,2,0,3
114.fa,3,0,2,5,13,1,1,1,2,1,3,1,0,5
213.fa,1,0,2,1,13,0,0,0,1,0,4,8,1,7
2734.fa,1,0,0,6,13,0,0,0,3,5,1,0,2,7
1280.fa,3,0,2,4,13,0,1,0,0,1,1,1,1,12
1228.fa,1,0,1,5,13,0,0,0,0,5,2,3,4,6
1239.fa,1,0,1,5,13,0,0,0,3,1,3,9,0,4
2305.fa,3,1,2,9,13,0,0,0,1,0,1,2,2,6
136.fa,0,0,1,3,13,0,0,0,0,1,18,0,2,3
2031.fa,3,0,2,3,13,1,0,0,0,3,2,3,0,11
29.fa,3,0,0,4,13,1,0,0,0,0,1,0,3,17
1010.fa,1,1,2,3,13,0,0,0,2,6,7,3,1,5
415.fa,0,1,0,1,13,0,22,0,3,0,2,1,0,2
6.fa,7,0,2,4,13,0,0,0,6,3,1,1,1,7
1442.fa,3,3,7,3,13,1,0,1,0,0,4,2,2,10
1804.fa,1,0,2,9,13,1,0,0,3,2,0,9,0,9
1037.fa,7,1,2,1,13,1,1,1,4,0,5,1,4,10
48.fa,2,0,3,3,13,14,1,1,3,1,0,0,1,9
2566.fa,3,1,6,11,13,1,0,1,0,1,2,2,5,6
2680.fa,4,0,1,14,13,1,0,11,0,1,1,3,0,3
205.fa,1,0,2,5,13,2,0,2,3,0,1,11,0,15
1281.fa,3,4,1,4,13,1,0,1,8,5,3,1,4,9
2046.fa,20,0,0,2,13,1,2,0,0,0,0,0,1,21
2574.fa,3,8,5,2,13,1,0,10,0,2,3,1,3,9
1969.fa,3,2,0,5,13,1,0,0,26,0,3,5,1,2
363.fa,0,4,1,5,13,1,6,0,3,0,2,22,0,4
682.fa,4,1,6,9,13,1,1,0,0,3,3,5,6,9
1562.fa,8,2,2,6,13,0,0,0,7,1,4,2,1,16
878.fa,2,0,32,2,13,1,0,2,0,2,1,2,0,6
57.fa,2,0,13,7,13,1,0,0,3,2,7,3,1,12
1539.fa,5,2,1,26,13,1,0,0,2,3,1,4,2,5
2637.fa,24,4,1,8,13,0,0,0,4,3,2,1,0,12
495.fa,8,13,0,10,13,1,1,0,0,2,1,1,3,19
1410.fa,7,0,0,6,13,0,0,0,0,3,4,19,1,22
1463.fa,3,5,7,3,13,1,0,3,1,1,3,3,4,29
1348.fa,2,0,4,15,13,0,1,0,4,4,4,3,2,25
977.fa,22,2,5,9,13,0,3,1,0,3,3,5,1,11
1686.fa,6,0,1,4,13,2,0,4,9,10,6,6,2,19
849.fa,12,1,6,7,13,0,0,1,6,6,4,6,5,16
31.fa,20,3,13,8,13,0,2,0,3,4,5,18,0,13
3.fa,0,0,1,0,12,0,1,0,0,0,0,0,0,3
2357.fa,0,0,0,1,12,1,0,0,1,0,2,0,0,2
372.fa,0,3,0,0,12,0,0,0,1,1,0,0,1,2
1755.fa,1,0,0,0,12,0,0,1,1,0,0,2,0,6
294.fa,1,0,2,4,12,1,0,1,0,0,0,1,0,1
1190.fa,1,0,1,3,12,1,0,0,0,0,0,0,0,8
24.fa,0,1,1,4,12,0,0,1,0,0,2,0,2,4
1511.fa,1,2,3,2,12,1,0,0,2,0,0,1,2,2
287.fa,0,1,0,1,12,0,0,0,0,0,1,9,0,4
2721.fa,0,3,1,4,12,0,1,0,0,2,0,1,0,5
1958.fa,2,1,1,4,12,1,1,0,1,0,0,1,1,5
82.fa,3,0,4,2,12,0,1,0,2,1,0,0,0,5
61.fa,0,1,1,3,12,0,1,0,0,0,1,2,0,10
2603.fa,2,0,1,5,12,2,0,1,0,0,1,2,0,6
988.fa,5,0,2,1,12,0,0,1,0,0,0,1,5,5
1335.fa,0,0,1,7,12,1,1,0,0,2,0,0,1,8
2310.fa,1,2,2,3,12,1,0,0,6,0,2,0,0,4
235.fa,2,0,2,5,12,0,0,1,3,0,1,0,1,6
1388.fa,4,1,2,4,12,0,0,1,2,0,1,2,0,5
2679.fa,2,0,0,1,12,0,0,1,0,0,0,14,1,3
2378.fa,3,0,0,3,12,0,0,1,11,1,1,2,0,1
877.fa,1,0,1,4,12,1,0,1,1,1,1,0,5,8
2319.fa,1,0,3,3,12,0,0,0,0,1,0,0,0,17
618.fa,0,2,2,13,12,0,0,0,1,0,0,0,4,3
1734.fa,2,2,1,5,12,0,1,0,2,4,1,2,1,5
984.fa,2,3,3,4,12,1,0,4,1,2,1,0,2,3
1908.fa,2,0,2,5,12,1,0,1,3,0,0,0,4,9
2080.fa,1,1,0,7,12,2,0,1,1,1,3,0,3,7
1.fa,1,1,1,2,12,0,0,0,0,1,0,14,1,7
1173.fa,3,0,0,1,12,0,0,1,13,0,0,1,1,8
392.fa,3,1,1,5,12,0,0,0,2,1,1,4,1,9
1191.fa,2,0,0,4,12,0,0,2,10,3,1,2,2,3
197.fa,10,0,2,7,12,0,0,0,0,0,1,6,0,3
2771.fa,0,1,1,6,12,3,0,0,1,1,2,1,2,11
576.fa,1,0,0,7,12,0,0,1,3,2,4,1,0,10
1665.fa,0,0,3,10,12,3,1,0,0,0,1,0,0,12
630.fa,0,0,0,2,12,0,0,1,2,10,0,3,4,8
110.fa,7,0,2,11,12,0,0,0,0,1,3,1,4,2
2666.fa,1,3,0,3,12,0,0,12,0,0,0,4,0,8
1271.fa,1,3,2,6,12,0,0,0,3,2,1,2,1,11
868.fa,0,2,4,9,12,0,0,3,2,0,2,1,3,6
2259.fa,10,0,4,1,12,0,0,1,0,1,5,3,1,7
410.fa,3,0,0,6,12,0,0,2,3,0,0,0,2,19
573.fa,0,0,0,7,12,2,0,1,0,0,1,5,0,19
1101.fa,1,0,2,3,12,1,0,1,5,0,2,11,1,9
2177.fa,3,1,11,3,12,0,1,0,4,1,2,2,0,8
1418.fa,2,1,4,2,12,1,2,1,1,3,2,3,0,15
1846.fa,2,2,3,5,12,0,0,0,0,0,2,5,1,17
2663.fa,1,3,3,12,12,0,1,0,0,1,1,2,1,14
1015.fa,5,1,2,5,12,0,0,2,4,2,3,1,3,12
714.fa,0,0,2,5,12,6,0,0,11,1,0,3,1,11
864.fa,1,2,0,7,12,0,0,1,10,2,4,0,1,12
1176.fa,0,2,0,3,12,0,1,1,11,0,2,3,0,18
298.fa,10,2,4,0,12,1,0,1,0,0,2,6,5,11
863.fa,2,2,4,9,12,1,0,2,2,2,1,0,2,15
1883.fa,4,3,5,2,12,0,2,2,0,0,4,5,1,15
478.fa,6,0,11,9,12,0,0,0,2,0,3,1,1,11
2188.fa,15,1,2,12,12,1,1,2,1,0,0,1,1,8
788.fa,1,1,2,7,12,0,0,2,4,4,4,4,4,12
1224.fa,3,0,1,5,12,1,0,1,0,1,2,4,0,29
391.fa,2,0,2,23,12,0,0,0,1,0,4,1,0,16
1400.fa,7,2,6,6,12,1,1,1,0,3,3,4,3,13
865.fa,5,0,5,8,12,0,0,1,5,2,3,6,2,13
255.fa,5,2,5,9,12,0,2,0,2,0,2,6,0,18
2369.fa,1,0,3,12,12,0,1,2,14,1,0,3,2,13
1872.fa,0,1,1,2,12,0,1,3,1,1,1,2,4,40
2136.fa,7,1,5,10,12,1,1,1,2,0,4,14,6,6
2320.fa,5,3,2,16,12,0,1,1,1,2,1,1,0,25
752.fa,4,3,2,11,12,1,2,0,3,3,2,1,4,22
232.fa,7,3,4,2,12,2,0,15,6,5,1,0,6,9
692.fa,11,6,3,5,12,5,5,3,3,1,2,2,3,14
1149.fa,14,1,2,9,12,0,0,0,10,1,2,2,17,7
814.fa,4,0,6,7,12,0,0,6,25,0,4,2,3,14
1663.fa,12,2,8,4,12,1,2,1,13,2,1,5,3,23
2244.fa,14,1,5,14,12,9,3,3,7,5,3,9,6,21
550.fa,16,2,10,9,12,1,3,1,2,5,3,6,5,37
1489.fa,13,2,17,49,12,1,2,1,9,5,4,4,1,9
2768.fa,1,0,0,0,11,0,0,0,0,0,0,0,0,0
603.fa,0,0,1,0,11,0,0,0,1,0,0,0,0,0
26.fa,0,0,0,2,11,0,0,0,0,0,0,0,0,1
148.fa,1,0,0,0,11,0,0,0,2,1,0,0,1,1
1760.fa,0,0,0,1,11,0,0,0,0,0,0,5,0,2
533.fa,3,0,0,2,11,0,0,0,0,0,0,1,1,2
584.fa,1,0,0,1,11,0,0,0,1,0,1,0,0,5
957.fa,0,0,0,1,11,0,1,2,0,0,0,1,0,5
492.fa,2,0,0,0,11,0,1,0,1,0,2,1,0,4
442.fa,1,0,0,1,11,0,0,0,0,0,2,1,0,8
116.fa,2,1,0,2,11,1,0,0,1,2,0,0,2,3
1406.fa,3,1,0,0,11,0,0,0,0,0,0,3,0,7
2338.fa,1,1,0,10,11,0,0,0,0,0,0,1,0,1
414.fa,0,1,1,2,11,0,0,2,0,1,0,2,0,5
1168.fa,0,0,0,2,11,2,0,0,0,0,1,0,1,9
1890.fa,4,0,1,2,11,0,0,0,0,0,0,0,1,7
2260.fa,1,1,1,3,11,1,0,2,0,0,0,0,0,6
2415.fa,0,1,1,6,11,0,1,3,0,0,0,1,0,2
480.fa,3,0,1,0,11,1,0,0,1,3,2,3,0,1
1852.fa,0,0,3,6,11,0,0,0,4,0,1,1,0,2
306.fa,1,0,0,1,11,0,0,1,1,3,1,2,0,7
732.fa,0,3,2,5,11,0,0,0,0,2,0,1,0,4
909.fa,0,0,2,4,11,0,1,0,0,0,2,0,2,6
2190.fa,1,0,1,7,11,0,0,0,0,0,1,1,1,6
330.fa,0,1,11,1,11,1,0,0,0,3,0,1,0,0
1046.fa,1,0,0,4,11,0,0,2,0,0,2,1,3,6
1309.fa,2,1,4,3,11,0,0,0,0,0,1,2,2,4
2083.fa,2,4,0,2,11,0,1,1,1,1,2,0,1,4
2326.fa,0,0,6,3,11,1,0,1,1,0,1,1,0,5
1187.fa,1,1,1,8,11,0,2,0,0,0,0,1,0,7
1356.fa,0,1,2,4,11,0,0,4,0,0,0,2,3,5
1864.fa,0,1,0,6,11,0,0,0,1,4,4,0,2,3
1819.fa,5,4,2,2,11,1,0,2,0,2,1,1,0,2
2329.fa,0,0,4,2,11,1,3,0,0,3,0,2,4,3
990.fa,7,1,3,1,11,0,0,0,4,0,0,1,1,4
1241.fa,7,0,4,2,11,0,2,0,0,1,1,1,1,4
2254.fa,3,0,4,5,11,0,0,0,0,2,1,2,3,3
2358.fa,2,0,2,3,11,0,0,1,1,1,0,0,0,13
799.fa,1,0,1,6,11,1,0,2,4,1,0,2,1,4
2063.fa,1,1,4,8,11,0,0,0,1,1,0,1,0,7
1909.fa,1,14,0,0,11,4,0,0,2,0,0,2,0,2
2417.fa,4,2,2,7,11,0,0,0,1,0,2,3,0,4
2730.fa,2,1,3,2,11,3,2,0,3,2,1,2,1,3
356.fa,0,0,0,6,11,0,0,0,0,1,0,2,10,6
1089.fa,1,0,2,5,11,0,3,1,1,1,4,0,0,9
1310.fa,0,1,0,4,11,2,1,2,2,0,0,3,0,13
1644.fa,4,1,1,3,11,1,1,0,0,0,1,1,0,15
2516.fa,3,2,3,4,11,1,0,0,2,0,2,2,2,7
1025.fa,1,2,0,1,11,0,20,0,0,0,0,0,0,5
1219.fa,0,0,0,8,11,1,0,1,0,8,0,8,2,1
2526.fa,4,1,1,6,11,1,0,1,0,0,3,2,0,11
138.fa,2,0,1,0,11,0,0,0,0,2,8,11,2,5
1460.fa,0,0,1,6,11,0,1,1,3,1,7,4,0,7
2694.fa,3,0,3,3,11,0,1,0,3,1,1,1,1,14
2751.fa,1,0,2,16,11,0,0,1,1,0,4,1,1,4
2776.fa,1,2,4,2,11,1,0,0,2,2,5,7,2,3
1331.fa,2,0,2,7,11,1,0,0,4,2,8,1,2,3
379.fa,2,0,2,6,11,1,2,0,1,0,3,5,2,8
698.fa,4,0,4,3,11,0,1,1,1,0,1,3,1,13
122.fa,7,0,1,8,11,0,0,0,2,0,0,2,1,12
2069.fa,3,2,0,5,11,0,1,0,2,0,4,6,1,9
459.fa,2,0,3,7,11,0,2,0,2,1,3,4,2,7
619.fa,7,1,1,2,11,0,0,0,1,1,0,2,0,18
995.fa,2,1,2,6,11,0,8,0,2,6,1,0,1,4
2575.fa,12,1,5,3,11,0,0,0,0,0,0,0,0,13
784.fa,1,1,1,16,11,1,0,0,1,1,1,5,0,6
2261.fa,1,3,3,3,11,0,3,1,2,0,4,2,3,10
2336.fa,2,0,9,5,11,0,0,1,1,0,2,4,0,11
950.fa,1,2,1,4,11,0,11,1,0,1,1,5,3,5
240.fa,1,0,2,1,11,0,0,0,27,1,1,0,1,2
2468.fa,1,1,6,4,11,0,1,0,5,0,1,2,1,14
1990.fa,5,0,4,8,11,5,0,0,2,2,3,1,0,7
2204.fa,2,1,12,2,11,1,1,1,2,4,1,4,4,3
2725.fa,4,2,3,3,11,1,0,0,7,3,2,6,5,4
2451.fa,12,10,2,6,11,0,1,0,2,2,2,1,1,3
2531.fa,4,2,6,4,11,0,0,0,0,0,0,8,1,17
653.fa,1,0,0,11,11,1,0,0,1,6,1,2,7,12
68.fa,5,1,1,3,11,1,1,2,1,1,4,2,0,20
688.fa,1,0,2,9,11,0,2,1,0,0,10,1,0,16
2454.fa,3,0,24,6,11,0,0,0,0,1,1,1,0,7
1305.fa,1,2,0,7,11,21,0,0,2,1,2,0,1,7
2714.fa,1,1,1,4,11,0,6,0,0,1,5,0,6,19
514.fa,2,1,1,12,11,1,0,0,0,1,2,9,4,11
2646.fa,4,1,5,2,11,0,0,0,1,0,3,8,2,19
1269.fa,0,1,2,10,11,0,0,0,1,1,2,0,3,26
374.fa,4,0,3,4,11,0,12,16,0,1,0,0,1,5
1778.fa,3,0,2,7,11,0,0,0,3,0,1,3,21,7
1057.fa,3,1,5,3,11,0,2,0,26,1,4,1,0,2
2670.fa,6,0,3,5,11,0,0,15,0,2,1,6,1,9
182.fa,4,0,5,3,11,2,2,2,2,1,4,8,2,14
2073.fa,4,0,1,3,11,1,1,0,3,0,3,8,1,26
1501.fa,6,0,2,6,11,1,0,0,2,1,5,4,5,21
1707.fa,4,2,8,4,11,1,0,1,2,3,2,9,1,16
1207.fa,3,3,13,13,11,0,1,0,3,2,1,3,3,10
2245.fa,10,0,2,10,11,0,0,0,6,2,1,3,6,15
439.fa,7,1,2,18,11,0,0,1,0,0,1,3,8,16
1408.fa,3,1,3,4,11,0,1,1,2,5,11,1,5,21
1593.fa,2,2,2,12,11,0,2,0,2,2,3,3,3,25
1247.fa,5,1,13,1,11,0,0,6,1,5,3,5,2,19
1137.fa,32,1,4,7,11,0,0,1,4,0,4,0,1,8
269.fa,2,2,2,15,11,4,0,0,2,2,25,1,0,10
709.fa,4,1,5,3,11,0,0,0,1,3,0,2,4,42
588.fa,13,0,17,22,11,3,0,5,0,2,4,1,0,1
565.fa,6,12,4,6,11,0,0,0,10,6,5,2,7,15
2539.fa,7,1,6,19,11,1,5,0,1,2,1,1,6,41
2723.fa,17,1,3,3,11,0,0,0,1,0,23,1,0,45
895.fa,29,1,1,4,11,2,18,18,1,2,5,11,3,3
2549.fa,0,0,0,1,10,0,0,0,0,0,0,0,0,2
309.fa,1,0,1,0,10,0,0,0,0,0,0,0,0,1
2511.fa,0,1,2,0,10,0,0,0,0,0,1,0,0,1
1133.fa,0,0,0,1,10,3,0,0,0,0,0,1,0,1
2660.fa,0,1,0,2,10,0,0,0,0,0,0,0,0,3
1033.fa,0,0,0,2,10,0,0,1,0,0,0,1,2,2
1631.fa,0,0,0,3,10,0,0,0,0,0,0,2,0,3
2058.fa,2,0,0,3,10,0,0,0,1,1,0,2,0,0
2084.fa,1,0,1,4,10,0,0,0,0,0,0,0,1,2
1073.fa,5,0,4,1,10,0,0,0,0,0,0,0,0,0
2327.fa,0,0,1,3,10,0,1,0,0,1,0,0,0,4
2364.fa,0,1,0,2,10,0,0,0,0,0,1,0,1,5
